ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,07/08/2024,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,07/08/2024,-47.90 ,CONSUMABLES,V002078614
ROCHDALE BOROUGH COUNCIL,20/08/2024,EARLY HELP AND SCHOOLS,FIVE RIVERS CHILD CARE LTD,20/08/2024,-1050.00 ,OTHER EST - SEN PROVISION,V002083526
ROCHDALE BOROUGH COUNCIL,02/08/2024,EARLY HELP AND SCHOOLS,KIRKLEES COLLEGE,02/08/2024,7539.50 ,OTHER EST - SEN PROVISION,V002093156
ROCHDALE BOROUGH COUNCIL,08/08/2024,ECONOMY DIRECTORATE,XMA LIMITED,08/08/2024,95.00 ,IT EQUIPMENT,V002095103
ROCHDALE BOROUGH COUNCIL,02/08/2024,EARLY HELP AND SCHOOLS,KIRKLEES COLLEGE,02/08/2024,-12063.20 ,OTHER EST - SEN PROVISION,V002103354
ROCHDALE BOROUGH COUNCIL,06/08/2024,PROPERTY AND HIGHWAYS,E ON ENERGY SOLUTIONS LTD HIGHWAY LIGHTING,06/08/2024,-415.31 ,GAS,V002124182
ROCHDALE BOROUGH COUNCIL,02/08/2024,ECONOMY DIRECTORATE,GM BUSINESS SUPPORT LIMITED,02/08/2024,-32.00 ,CONSULTANTS FEES,V002131122
ROCHDALE BOROUGH COUNCIL,02/08/2024,NEIGHBOURHOODS AND ENVIRONMENT,EAGLE CONTAINERS LIMITED,02/08/2024,60.00 ,EQUIPMENT - GENERAL,V002135629
ROCHDALE BOROUGH COUNCIL,06/08/2024,ADULT CARE LCO FUNCTIONS,STANNAH LIFT SERVICES LTD,06/08/2024,6939.00 ,TRANSACTIONS-EXPENDITURE,V002141803
ROCHDALE BOROUGH COUNCIL,08/08/2024,CHILDREN’S SOCIAL CARE,D A LANGUAGES LIMITED,08/08/2024,165.00 ,TRANSLATION & INTERPRETATION,V002151203
ROCHDALE BOROUGH COUNCIL,01/08/2024,NEIGHBOURHOODS AND ENVIRONMENT,CORENERGY,01/08/2024,46861.02 ,MINOR BUILDING WORKS,V002151496
ROCHDALE BOROUGH COUNCIL,01/08/2024,EARLY HELP AND SCHOOLS,HILL DICKINSON LLP,01/08/2024,364.00 ,LEGAL SERVICES CHILDREN`S SOCIAL CARE,V002160282
ROCHDALE BOROUGH COUNCIL,01/08/2024,EARLY HELP AND SCHOOLS,HILL DICKINSON LLP,01/08/2024,912.00 ,LEGAL SERVICES CHILDREN`S SOCIAL CARE,V002160283
ROCHDALE BOROUGH COUNCIL,02/08/2024,ECONOMY DIRECTORATE,GM BUSINESS SUPPORT LIMITED,02/08/2024,32.00 ,CONSULTANTS FEES,V002163434
ROCHDALE BOROUGH COUNCIL,01/08/2024,PROPERTY AND HIGHWAYS,ASSOCIATED CLEANING CONTRACTORS,01/08/2024,135.00 ,REPAIRS & ALTS OF BUILDINGS,V002178831
ROCHDALE BOROUGH COUNCIL,01/08/2024,PROPERTY AND HIGHWAYS,ASSOCIATED CLEANING CONTRACTORS,01/08/2024,135.00 ,REPAIRS & ALTS OF BUILDINGS,V002183734
ROCHDALE BOROUGH COUNCIL,13/08/2024,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,13/08/2024,478.23 ,PRINTING & STATIONERY,V002185395
ROCHDALE BOROUGH COUNCIL,13/08/2024,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,13/08/2024,68.99 ,PRINTING & STATIONERY,V002185395
ROCHDALE BOROUGH COUNCIL,07/08/2024,EARLY HELP AND SCHOOLS,BEVAN CARE LTD,07/08/2024,2436.00 ,HOME CARE - CHILDRENS SERVICES,V002191569
ROCHDALE BOROUGH COUNCIL,07/08/2024,EARLY HELP AND SCHOOLS,BEVAN CARE LTD,07/08/2024,168.00 ,HOME CARE - CHILDRENS SERVICES,V002191600
ROCHDALE BOROUGH COUNCIL,01/08/2024,PROPERTY AND HIGHWAYS,ASSOCIATED CLEANING CONTRACTORS,01/08/2024,135.00 ,REPAIRS & ALTS OF BUILDINGS,V002192681
ROCHDALE BOROUGH COUNCIL,01/08/2024,EARLY HELP AND SCHOOLS,BRADSHAW GASS AND HOPE LLP,01/08/2024,2250.00 ,MINOR BUILDING WORKS,V002195425
ROCHDALE BOROUGH COUNCIL,07/08/2024,NEIGHBOURHOODS AND ENVIRONMENT,MANCHESTER CABINS LIMITED,07/08/2024,75.60 ,CONTRACTS,V002204449
ROCHDALE BOROUGH COUNCIL,13/08/2024,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,13/08/2024,45.00 ,PROPERTY - WORKS ELEMENT,V002205360
ROCHDALE BOROUGH COUNCIL,01/08/2024,NEIGHBOURHOODS AND ENVIRONMENT,FLEXTRONICS GLOBAL SERVICES MANCHESTER,01/08/2024,101.82 ,IT EQUIPMENT,V002205403
ROCHDALE BOROUGH COUNCIL,20/08/2024,ADULT CARE LCO FUNCTIONS,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,20/08/2024,2000.00 ,SERVICE LEVEL AGREEMENTS,V002206266
ROCHDALE BOROUGH COUNCIL,07/08/2024,ADULT CARE LCO FUNCTIONS,COMPUTACENTER UK LIMITED,07/08/2024,93.73 ,IT EQUIPMENT,V002207912
ROCHDALE BOROUGH COUNCIL,07/08/2024,ADULT CARE LCO FUNCTIONS,COMPUTACENTER UK LIMITED,07/08/2024,93.73 ,IT EQUIPMENT,V002207912
ROCHDALE BOROUGH COUNCIL,07/08/2024,ADULT CARE LCO FUNCTIONS,COMPUTACENTER UK LIMITED,07/08/2024,24.40 ,IT EQUIPMENT,V002207912
ROCHDALE BOROUGH COUNCIL,07/08/2024,ADULT CARE LCO FUNCTIONS,COMPUTACENTER UK LIMITED,07/08/2024,24.40 ,IT EQUIPMENT,V002207912
ROCHDALE BOROUGH COUNCIL,06/08/2024,ECONOMY DIRECTORATE,HOMEFRONT ELECTRICAL FIRE AND SECURITY,06/08/2024,360.00 ,SECURITY,V002207916
