ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,26/07/2024,ADULT CARE LCO FUNCTIONS,POSTURITE UK LTD,26/07/2024,66.01 ,STATIONERY,V002027419
ROCHDALE BOROUGH COUNCIL,24/07/2024,CHILDREN’S SOCIAL CARE,ADOPTION MATTERS NORTHWEST,24/07/2024,-1878.00 ,ADOPTION PAYMENTS,V002031449
ROCHDALE BOROUGH COUNCIL,26/07/2024,ADULT CARE LCO FUNCTIONS,POSTURITE UK LTD,26/07/2024,97.71 ,STATIONERY,V002032529
ROCHDALE BOROUGH COUNCIL,26/07/2024,ADULT CARE LCO FUNCTIONS,DORO CARE UK LTD,26/07/2024,4765.95 ,EQUIPMENT - GENERAL,V002065230
ROCHDALE BOROUGH COUNCIL,02/07/2024,ECONOMY DIRECTORATE,BANNER GROUP LIMITED,02/07/2024,4.42 ,PRINTING & STATIONERY,V002068062
ROCHDALE BOROUGH COUNCIL,23/07/2024,ECONOMY DIRECTORATE,SWIFT SECURITY PRODUCTS LTD,23/07/2024,250.00 ,ELECTRICAL,V002089015
ROCHDALE BOROUGH COUNCIL,23/07/2024,ECONOMY DIRECTORATE,SWIFT SECURITY PRODUCTS LTD,23/07/2024,1094.00 ,ELECTRICAL,V002089015
ROCHDALE BOROUGH COUNCIL,05/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,REDACTED - PERSONAL DATA,05/07/2024,152.00 ,PHOTOGRAPHY,V002110891
ROCHDALE BOROUGH COUNCIL,24/07/2024,ECONOMY DIRECTORATE,TRANSPORT FOR GREATER MANCHESTER,24/07/2024,4920.00 ,CONSULTANTS FEES,V002118856
ROCHDALE BOROUGH COUNCIL,26/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,AMAZON BUSINESS,26/07/2024,177.07 ,FURNITURE - GENERAL,V002122310
ROCHDALE BOROUGH COUNCIL,26/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,SPECSAVERS OPTICIANS,26/07/2024,25.00 ,EYE TESTS  VDU USERS,V002124286
ROCHDALE BOROUGH COUNCIL,29/07/2024,ADULT CARE LCO FUNCTIONS,BRAHM FUNDCO 2 LTD,29/07/2024,141.80 ,MINOR BUILDING WORKS,V002131785
ROCHDALE BOROUGH COUNCIL,30/07/2024,ECONOMY DIRECTORATE,SAFER SPHERE CHS LTD,30/07/2024,1008.34 ,CONSULTANTS FEES,V002132441
ROCHDALE BOROUGH COUNCIL,22/07/2024,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,22/07/2024,8.30 ,PRINTING & STATIONERY,V002135648
ROCHDALE BOROUGH COUNCIL,05/07/2024,EARLY HELP AND SCHOOLS,FIVE RIVERS CHILD CARE LTD,05/07/2024,4200.00 ,OTHER EST - SEN PROVISION,V002136115
ROCHDALE BOROUGH COUNCIL,10/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,GORDON RIGG (NURSERIES) LIMITED,10/07/2024,312.00 ,"TREES, SHRUBS, PLANTS",V002138241
ROCHDALE BOROUGH COUNCIL,10/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,GORDON RIGG (NURSERIES) LIMITED,10/07/2024,312.00 ,"TREES, SHRUBS, PLANTS",V002138241
ROCHDALE BOROUGH COUNCIL,08/07/2024,CHILDREN’S SOCIAL CARE,LUCY FAITHFULL FOUNDATION,08/07/2024,1633.93 ,PROFESSIONAL FEES,V002139092
ROCHDALE BOROUGH COUNCIL,15/07/2024,EARLY HELP AND SCHOOLS,SEVEN ARCHITECTURE LTD,15/07/2024,3000.00 ,CONSULTANTS FEES,V002145558
ROCHDALE BOROUGH COUNCIL,01/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,DAISY CORPORATE SERVICES TRADING LTD,01/07/2024,700.00 ,CONSULTANT FEES,V002147618
ROCHDALE BOROUGH COUNCIL,05/07/2024,EARLY HELP AND SCHOOLS,ASSOCIATED BOARD OF ROYAL SCHOOLS MUSIC,05/07/2024,641.45 ,EXAM EXPENSES,V002150927
ROCHDALE BOROUGH COUNCIL,05/07/2024,EARLY HELP AND SCHOOLS,ASSOCIATED BOARD OF ROYAL SCHOOLS MUSIC,05/07/2024,641.45 ,EXAM EXPENSES,V002150927
ROCHDALE BOROUGH COUNCIL,04/07/2024,EARLY HELP AND SCHOOLS,AXIOM EDUCATION ROCHDALE LIMITED,04/07/2024,9892.50 ,PFI SCHEMES RPIX,V002151316
ROCHDALE BOROUGH COUNCIL,11/07/2024,EARLY HELP AND SCHOOLS,SYNTAX CONTROLS LIMITED,11/07/2024,90.00 ,REPAIRS & ALTS OF BUILDINGS,V002160390
ROCHDALE BOROUGH COUNCIL,11/07/2024,ECONOMY DIRECTORATE,SYNTAX CONTROLS LIMITED,11/07/2024,90.00 ,REPAIRS & ALTS OF BUILDINGS,V002160392
ROCHDALE BOROUGH COUNCIL,23/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,ALLIANCE DISPOSABLES LIMITED,23/07/2024,-15.90 ,"CLOTHES, UNIFORM AND LAUNDRY",V002160636
ROCHDALE BOROUGH COUNCIL,04/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,G A ELECTRICAL DISTRIBUTORS LIMITED,04/07/2024,22.88 ,BUILDING MATERIALS,V002164977
ROCHDALE BOROUGH COUNCIL,11/07/2024,ECONOMY DIRECTORATE,SYNTAX CONTROLS LIMITED,11/07/2024,320.00 ,REPAIRS & ALTS OF BUILDINGS,V002165375
ROCHDALE BOROUGH COUNCIL,03/07/2024,RESOURCES,VALTECH LTD,03/07/2024,572.70 ,EXTERNAL CONTRACTED PRINTING,V002173298
ROCHDALE BOROUGH COUNCIL,05/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,LOCATA HOUSING SERVICES,05/07/2024,200.00 ,CONTRACTS,V002173308
ROCHDALE BOROUGH COUNCIL,11/07/2024,EARLY HELP AND SCHOOLS,ALLIANCE DISPOSABLES LIMITED,11/07/2024,24.50 ,CONSUMABLES,V002173426
ROCHDALE BOROUGH COUNCIL,08/07/2024,PROPERTY AND HIGHWAYS,COMPLIANCE365,08/07/2024,100.00 ,PROPERTY - WORKS ELEMENT,V002178732
ROCHDALE BOROUGH COUNCIL,02/07/2024,ADULT CARE LCO FUNCTIONS,BANNER GROUP LIMITED,02/07/2024,14.28 ,IT EQUIPMENT,V002185870
ROCHDALE BOROUGH COUNCIL,26/07/2024,ADULT CARE LCO FUNCTIONS,DORO CARE UK LTD,26/07/2024,925.95 ,PURCHASE OF FURNITURE AND EQUIPMENT,V002193092
ROCHDALE BOROUGH COUNCIL,05/07/2024,PROPERTY AND HIGHWAYS,TARGET FIRE PROTECTION LTD,05/07/2024,85.79 ,REPAIRS & ALTS OF BUILDINGS,V002193120
ROCHDALE BOROUGH COUNCIL,16/07/2024,ADULT CARE LCO FUNCTIONS,BANNER GROUP LIMITED,16/07/2024,44.00 ,IT EQUIPMENT,V002194916
ROCHDALE BOROUGH COUNCIL,09/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,KILLGERM CHEMICALS LIMITED,09/07/2024,297.90 ,EQUIPMENT - GENERAL,V002198764
ROCHDALE BOROUGH COUNCIL,02/07/2024,EARLY HELP AND SCHOOLS,DDH FABRICATIONS NW LTD,02/07/2024,30.00 ,REPAIRS & ALTS OF BUILDINGS,V002199102
ROCHDALE BOROUGH COUNCIL,02/07/2024,EARLY HELP AND SCHOOLS,DDH FABRICATIONS NW LTD,02/07/2024,10.00 ,REPAIRS & ALTS OF BUILDINGS,V002199102
ROCHDALE BOROUGH COUNCIL,04/07/2024,PROPERTY AND HIGHWAYS,CALEDONIAN LIFTS MANCHESTER LTD,04/07/2024,90.00 ,PROPERTY - WORKS ELEMENT,V002204426
ROCHDALE BOROUGH COUNCIL,22/07/2024,ECONOMY DIRECTORATE,REDACTED - PERSONAL DATA,22/07/2024,1800.00 ,CONSULTANTS FEES,V002204973
ROCHDALE BOROUGH COUNCIL,05/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,FRANCOTYP POSTALIA LTD - POSTAGE,05/07/2024,400.00 ,EQUIPMENT - GENERAL,V002205361
ROCHDALE BOROUGH COUNCIL,05/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,FRANCOTYP POSTALIA LTD - POSTAGE,05/07/2024,12.00 ,EQUIPMENT - GENERAL,V002205361
ROCHDALE BOROUGH COUNCIL,05/07/2024,NEIGHBOURHOODS AND ENVIRONMENT,FRANCOTYP POSTALIA LTD - POSTAGE,05/07/2024,400.00 ,EQUIPMENT - GENERAL,V002206226
