ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,05/11/2024,RESOURCES,XMA LIMITED,05/11/2024,-96.55,IT EQUIPMENT,V002049078
ROCHDALE BOROUGH COUNCIL,19/11/2024,PUBLIC HEALTH,WATER PLUS,19/11/2024,-402.17,EQUIPMENT - GENERAL,V002092385
ROCHDALE BOROUGH COUNCIL,05/11/2024,NEIGHBOURHOODS AND ENVIRONMENT,ASSOCIATED CLEANING CONTRACTORS,05/11/2024,55,WINDOW CLEANING AND EQUIPMENT,V002137216
ROCHDALE BOROUGH COUNCIL,05/11/2024,ADULT CARE LCO FUNCTIONS,TF JONES PROPERTY SERVICES LTD,05/11/2024,5457.42,MINOR BUILDING WORKS,V002141861
ROCHDALE BOROUGH COUNCIL,07/11/2024,EARLY HELP AND SCHOOLS,ROCHDALE TOWN TAXIS LTD,07/11/2024,205.8,TAXI HIRE,V002145372
ROCHDALE BOROUGH COUNCIL,07/11/2024,EARLY HELP AND SCHOOLS,ROCHDALE TOWN TAXIS LTD,07/11/2024,205.8,TAXI HIRE,V002145372
ROCHDALE BOROUGH COUNCIL,07/11/2024,EARLY HELP AND SCHOOLS,ROCHDALE TOWN TAXIS LTD,07/11/2024,205.8,TAXI HIRE,V002145372
ROCHDALE BOROUGH COUNCIL,11/11/2024,ADULT CARE LCO FUNCTIONS,STANNAH LIFT SERVICES LTD,11/11/2024,7186,MINOR BUILDING WORKS,V002153451
ROCHDALE BOROUGH COUNCIL,07/11/2024,PROPERTY AND HIGHWAYS,P CASEY LAND RECLAMATION LTD,07/11/2024,448,HIRE OF EQUIPMENT,V002160467
ROCHDALE BOROUGH COUNCIL,06/11/2024,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,06/11/2024,17.4,CONSUMABLES,V002164801
ROCHDALE BOROUGH COUNCIL,06/11/2024,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,06/11/2024,25.99,CONSUMABLES,V002164801
ROCHDALE BOROUGH COUNCIL,06/11/2024,EARLY HELP AND SCHOOLS,PATTERSONS BRISTOL LTD,06/11/2024,14.41,CONSUMABLES,V002164801
