ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,24/09/2024,PROPERTY AND HIGHWAYS,E ON ENERGY SOLUTIONS LTD HIGHWAY LIGHTING,24/09/2024,-436.71 ,REPAIRS & ALTS OF BUILDINGS,V002049271
ROCHDALE BOROUGH COUNCIL,24/09/2024,RESOURCES,GMCA,24/09/2024,500.00 ,PROFESSIONAL FEES,V002192965
ROCHDALE BOROUGH COUNCIL,13/09/2024,EARLY HELP AND SCHOOLS,BANNER GROUP LIMITED,13/09/2024,72.24 ,PRINTING & STATIONERY,V002212356
ROCHDALE BOROUGH COUNCIL,13/09/2024,EARLY HELP AND SCHOOLS,M & S MERCANTILE EARLY YEARS RESOURCES,13/09/2024,713.64 ,EQUIPMENT - GENERAL,V002212602
ROCHDALE BOROUGH COUNCIL,02/09/2024,ECONOMY DIRECTORATE,WATER PLUS,02/09/2024,331.00 ,WATER CHARGES,V002214483
ROCHDALE BOROUGH COUNCIL,03/09/2024,RESOURCES,APEX RADIO SYSTEMS LTD,03/09/2024,-6.45 ,HIRE OF EQUIPMENT,V002225575
ROCHDALE BOROUGH COUNCIL,20/09/2024,EARLY HELP AND SCHOOLS,MILLENNIUM TRANSLATIONS LTD,20/09/2024,108.00 ,TRANSLATION & INTERPRETATION,V002229542
ROCHDALE BOROUGH COUNCIL,09/09/2024,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,09/09/2024,177.49 ,EQUIPMENT - GENERAL,V002230034
ROCHDALE BOROUGH COUNCIL,24/09/2024,RESOURCES,JACOBS ENFORCEMENT LTD,24/09/2024,0.00 ,INPUT VAT -  ADJUSTMENTS,V002230367
ROCHDALE BOROUGH COUNCIL,16/09/2024,NEIGHBOURHOODS AND ENVIRONMENT,MANCHESTER CABINS LIMITED,16/09/2024,105.60 ,CONTRACTS,V002231527
ROCHDALE BOROUGH COUNCIL,13/09/2024,NEIGHBOURHOODS AND ENVIRONMENT,FRANK KEY TOOL HIRE LTD,13/09/2024,18.00 ,BUILDING MATERIALS,V002231755
ROCHDALE BOROUGH COUNCIL,13/09/2024,NEIGHBOURHOODS AND ENVIRONMENT,FRANK KEY TOOL HIRE LTD,13/09/2024,29.70 ,BUILDING MATERIALS,V002231758
ROCHDALE BOROUGH COUNCIL,12/09/2024,NEIGHBOURHOODS AND ENVIRONMENT,TRIANGLE ARCHITECTS LTD,12/09/2024,3150.00 ,ARCHITECTS FEES,V002231818
ROCHDALE BOROUGH COUNCIL,18/09/2024,ECONOMY DIRECTORATE,CLOVER SECURITY SERVICES LIMITED,18/09/2024,200.00 ,SECURITY,V002233746
ROCHDALE BOROUGH COUNCIL,16/09/2024,NEIGHBOURHOODS AND ENVIRONMENT,MANCHESTER CABINS LIMITED,16/09/2024,198.00 ,CONTRACTS,V002233770
ROCHDALE BOROUGH COUNCIL,12/09/2024,RESOURCES,FORBES SOLICITORS,12/09/2024,0.00 ,INPUT VAT -  ADJUSTMENTS,V002233954
ROCHDALE BOROUGH COUNCIL,19/09/2024,PROPERTY AND HIGHWAYS,BRADSHAW GASS AND HOPE LLP,19/09/2024,2080.00 ,CONSULTANTS FEES,V002234108
ROCHDALE BOROUGH COUNCIL,12/09/2024,CHILDREN’S SOCIAL CARE,NEW START CHILDCARE,12/09/2024,14850.00 ,EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002234321
