ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,24-Apr-25,RESOURCES,NEC SOFTWARE SOLUTIONS UK LTD,24-Apr-25,103.56 ,POSTAGE,V002164783
ROCHDALE BOROUGH COUNCIL,01-Apr-25,ECONOMY DIRECTORATE,I BRANDED LTD,01-Apr-25,411.34 ,MARKETING EXPENDITURE,V002230351
ROCHDALE BOROUGH COUNCIL,02-Apr-25,EARLY HELP AND SCHOOLS,WATERLOO LODGE SCHOOL,02-Apr-25,"1,547.60 ",OTHER EST - SEN PROVISION,V002257490
ROCHDALE BOROUGH COUNCIL,02-Apr-25,EARLY HELP AND SCHOOLS,THE HOLDEN SCHOOL,02-Apr-25,"1,886.01 ",OTHER EST - SEN PROVISION,V002257491
ROCHDALE BOROUGH COUNCIL,16-Apr-25,PROPERTY AND HIGHWAYS,TARGET FIRE PROTECTION LTD,16-Apr-25,-792.08 ,PROPERTY - WORKS ELEMENT,V002262425
ROCHDALE BOROUGH COUNCIL,24-Apr-25,EARLY HELP AND SCHOOLS,AQUACOOL LTD,24-Apr-25,12.00 ,REFRESHMENTS,V002290002
ROCHDALE BOROUGH COUNCIL,04-Apr-25,RESOURCES,AMBERHAWK TRAINING LTD,04-Apr-25,"2,500.00 ",TRAINING,V002299457
ROCHDALE BOROUGH COUNCIL,07-Apr-25,RESOURCES,BANNER GROUP LIMITED,07-Apr-25,20.00 ,STATIONERY,V002299608
ROCHDALE BOROUGH COUNCIL,02-Apr-25,EARLY HELP AND SCHOOLS,RANDSTAD SOLUTIONS LTD,02-Apr-25,276.00 ,CURRICULUM DEVELOPMENT,V002322437
ROCHDALE BOROUGH COUNCIL,02-Apr-25,EARLY HELP AND SCHOOLS,RANDSTAD SOLUTIONS LTD,02-Apr-25,240.00 ,OTHER LA`S - SEN PROVISION,V002327755
ROCHDALE BOROUGH COUNCIL,02-Apr-25,EARLY HELP AND SCHOOLS,RANDSTAD SOLUTIONS LTD,02-Apr-25,240.00 ,OTHER LA`S - SEN PROVISION,V002328007
ROCHDALE BOROUGH COUNCIL,02-Apr-25,EARLY HELP AND SCHOOLS,RANDSTAD SOLUTIONS LTD,02-Apr-25,644.00 ,CURRICULUM DEVELOPMENT,V002328032
ROCHDALE BOROUGH COUNCIL,11-Apr-25,EARLY HELP AND SCHOOLS,SINGING MAMAS CIC,11-Apr-25,"1,150.00 ",TRAINING,V002328162
ROCHDALE BOROUGH COUNCIL,02-Apr-25,EARLY HELP AND SCHOOLS,RANDSTAD SOLUTIONS LTD,02-Apr-25,"-3,718.00 ",CURRICULUM DEVELOPMENT,V002328746
ROCHDALE BOROUGH COUNCIL,02-Apr-25,EARLY HELP AND SCHOOLS,RANDSTAD SOLUTIONS LTD,02-Apr-25,240.00 ,OTHER LA`S - SEN PROVISION,V002334892
