ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,11-Feb-25,EARLY HELP AND SCHOOLS,FIVE RIVERS CHILD CARE LTD,11-Feb-25,"2,800.00",OTHER LA`S - SEN PROVISION,V002028772
ROCHDALE BOROUGH COUNCIL,14-Feb-25,ECONOMY DIRECTORATE,A AND D DOOR SYSTEMS LTD,14-Feb-25,(420.00),REPAIRS & ALTS OF BUILDINGS,V002089336
ROCHDALE BOROUGH COUNCIL,24-Feb-25,CHILDREN’S SOCIAL CARE,D A LANGUAGES LIMITED,24-Feb-25,35.00,TRANSLATION & INTERPRETATION,V002132257
ROCHDALE BOROUGH COUNCIL,14-Feb-25,PROPERTY AND HIGHWAYS,METRIC GROUP LTD,14-Feb-25,342.00,MAINTENANCE,V002224436
ROCHDALE BOROUGH COUNCIL,06-Feb-25,NEIGHBOURHOODS AND ENVIRONMENT,FRANK KEY TOOL HIRE LTD,06-Feb-25,80.10,BUILDING MATERIALS,V002229526
ROCHDALE BOROUGH COUNCIL,07-Feb-25,PUBLIC HEALTH,TURNING POINT,07-Feb-25,65.00,CONTRACTED SERVICES,V002230021
ROCHDALE BOROUGH COUNCIL,06-Feb-25,NEIGHBOURHOODS AND ENVIRONMENT,FRANK KEY TOOL HIRE LTD,06-Feb-25,18.50,BUILDING MATERIALS,V002230281
ROCHDALE BOROUGH COUNCIL,11-Feb-25,NEIGHBOURHOODS AND ENVIRONMENT,CONNECT CARS UK LTD,11-Feb-25,371.00,TAXI HIRE,V002231744
ROCHDALE BOROUGH COUNCIL,14-Feb-25,PROPERTY AND HIGHWAYS,METRIC GROUP LTD,14-Feb-25,95.00,MAINTENANCE,V002241486
ROCHDALE BOROUGH COUNCIL,13-Feb-25,ADULT CARE LCO FUNCTIONS,TF JONES PROPERTY SERVICES LTD,13-Feb-25,"23,133.03",MINOR BUILDING WORKS,V002243707
ROCHDALE BOROUGH COUNCIL,04-Feb-25,RESOURCES,CDER GROUP LTD,04-Feb-25,0.00,INPUT VAT -  ADJUSTMENTS,V002243898
ROCHDALE BOROUGH COUNCIL,04-Feb-25,RESOURCES,CDER GROUP LTD,04-Feb-25,0.00,INPUT VAT -  ADJUSTMENTS,V002243899
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,541.23",OTHER EST - SEN PROVISION,V002257475
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,581.66",OTHER EST - SEN PROVISION,V002257477
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,284.55",OTHER EST - SEN PROVISION,V002257478
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,706.23",OTHER EST - SEN PROVISION,V002257479
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,541.16",OTHER EST - SEN PROVISION,V002257480
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,152.14",OTHER EST - SEN PROVISION,V002257481
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,360.59",OTHER EST - SEN PROVISION,V002257482
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,886.01",OTHER EST - SEN PROVISION,V002257483
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,361.63",OTHER EST - SEN PROVISION,V002257484
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"2,361.63",OTHER EST - SEN PROVISION,V002257486
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,360.59",OTHER EST - SEN PROVISION,V002257487
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,497.54",OTHER EST - SEN PROVISION,V002257488
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,221.27",OTHER EST - SEN PROVISION,V002257489
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,"1,500.00",OTHER EST - SEN PROVISION,V002257786
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,325.00,OTHER EST - SEN PROVISION,V002257786
ROCHDALE BOROUGH COUNCIL,24-Feb-25,EARLY HELP AND SCHOOLS,AXIOM EDUCATION ROCHDALE LIMITED,24-Feb-25,818.10,PFI SCHEMES RPIX,V002283388
ROCHDALE BOROUGH COUNCIL,04-Feb-25,ADULT CARE LCO FUNCTIONS,POLLOCK LIFTS,04-Feb-25,850.00,MINOR BUILDING WORKS,V002289704
ROCHDALE BOROUGH COUNCIL,06-Feb-25,PROPERTY AND HIGHWAYS,APEX RADIO SYSTEMS LTD,06-Feb-25,25.00,CONTRACTED SERVICES,V002289999
ROCHDALE BOROUGH COUNCIL,04-Feb-25,CHILDREN’S SOCIAL CARE,NORTHERN CARE ALLIANCE NHS FOUNDATION TRUST,04-Feb-25,"1,794.58",FEES / COMMISSION,V002296321
ROCHDALE BOROUGH COUNCIL,06-Feb-25,NEIGHBOURHOODS AND ENVIRONMENT,G A ELECTRICAL DISTRIBUTORS LIMITED,06-Feb-25,97.76,BUILDING MATERIALS,V002305069
ROCHDALE BOROUGH COUNCIL,04-Feb-25,PUBLIC HEALTH,JCDECAUX UK LTD,04-Feb-25,348.00,ACTIVITIES,V002307016
ROCHDALE BOROUGH COUNCIL,04-Feb-25,RESOURCES,M SHEPPARD PATHOLOGY LTD,04-Feb-25,400.00,EXPERT REPORTS,V002307219
ROCHDALE BOROUGH COUNCIL,04-Feb-25,ECONOMY DIRECTORATE,SWIFT SECURITY PRODUCTS LTD,04-Feb-25,60.00,REPAIRS & ALTS OF BUILDINGS,V002307388
ROCHDALE BOROUGH COUNCIL,04-Feb-25,ECONOMY DIRECTORATE,SWIFT SECURITY PRODUCTS LTD,04-Feb-25,100.00,REPAIRS & ALTS OF BUILDINGS,V002307388
ROCHDALE BOROUGH COUNCIL,04-Feb-25,ECONOMY DIRECTORATE,ASSOCIATED CLEANING CONTRACTORS,04-Feb-25,90.00,REPAIRS & ALTS OF BUILDINGS,V002307458
ROCHDALE BOROUGH COUNCIL,11-Feb-25,ECONOMY DIRECTORATE,SYNTAX CONTROLS LIMITED,11-Feb-25,400.00,ELECTRICAL,V002308490
ROCHDALE BOROUGH COUNCIL,04-Feb-25,CHILDREN’S SOCIAL CARE,JUNCTION WPMS LTD,04-Feb-25,120.00,MEDICAL FEES,V002309415
ROCHDALE BOROUGH COUNCIL,27-Feb-25,ECONOMY DIRECTORATE,EAST LANCASHIRE SERVICES LIMITED,27-Feb-25,"1,155.88",CLEANING AND DOMESTIC SUPPLIES,V002311448
ROCHDALE BOROUGH COUNCIL,11-Feb-25,EARLY HELP AND SCHOOLS,BRADSHAW GASS AND HOPE LLP,11-Feb-25,262.50,CONSULTANTS FEES,V002313230
ROCHDALE BOROUGH COUNCIL,25-Feb-25,ECONOMY DIRECTORATE,COMPLIANCE365,25-Feb-25,220.00,TECHNICAL SERVICES (PROPERTY MAINTENANCE,V002313995
ROCHDALE BOROUGH COUNCIL,17-Feb-25,PUBLIC HEALTH,TRIGGER PRODUCTIONS LTD,17-Feb-25,"2,000.00",EVENTS,V002314072
ROCHDALE BOROUGH COUNCIL,17-Feb-25,PUBLIC HEALTH,TRIGGER PRODUCTIONS LTD,17-Feb-25,"2,000.00",EVENTS,V002314072
ROCHDALE BOROUGH COUNCIL,17-Feb-25,PUBLIC HEALTH,TRIGGER PRODUCTIONS LTD,17-Feb-25,"2,000.00",EVENTS,V002314072
ROCHDALE BOROUGH COUNCIL,17-Feb-25,PUBLIC HEALTH,TRIGGER PRODUCTIONS LTD,17-Feb-25,"2,000.00",EVENTS,V002314072
ROCHDALE BOROUGH COUNCIL,14-Feb-25,PROPERTY AND HIGHWAYS,MODAXO TRAFFIC MANAGEMENT UK LTD,14-Feb-25,100.80,IT EQUIPMENT,V002314938
ROCHDALE BOROUGH COUNCIL,11-Feb-25,EARLY HELP AND SCHOOLS,AXIOM EDUCATION ROCHDALE LIMITED,11-Feb-25,"4,993.80",PFI SCHEMES RPIX,V002316749
ROCHDALE BOROUGH COUNCIL,25-Feb-25,ECONOMY DIRECTORATE,COMPLIANCE365,25-Feb-25,220.00,TECHNICAL SERVICES (PROPERTY MAINTENANCE,V002316833
ROCHDALE BOROUGH COUNCIL,11-Feb-25,NEIGHBOURHOODS AND ENVIRONMENT,SHRED STATION,11-Feb-25,53.00,REMOVAL EXPENDITURE,V002319929
ROCHDALE BOROUGH COUNCIL,12-Feb-25,PUBLIC HEALTH,SPECSAVERS OPTICIANS,12-Feb-25,25.00,EYE TESTS  VDU USERS,V002320349
ROCHDALE BOROUGH COUNCIL,18-Feb-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,18-Feb-25,340.00,TRAVELLING GENERAL EXPENSES,V002320354
ROCHDALE BOROUGH COUNCIL,11-Feb-25,EARLY HELP AND SCHOOLS,SYNTAX CONTROLS LIMITED,11-Feb-25,180.00,REPAIRS & ALTS OF BUILDINGS,V002320447
ROCHDALE BOROUGH COUNCIL,11-Feb-25,CHILDREN’S SOCIAL CARE,TIMEOUT CHILDRENS HOMES LTD,11-Feb-25,"21,980.00",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002320707
ROCHDALE BOROUGH COUNCIL,12-Feb-25,NEIGHBOURHOODS AND ENVIRONMENT,THE FOUNTAIN COMPANY LTD,12-Feb-25,"11,662.00",MAINTENANCE,V002321604
ROCHDALE BOROUGH COUNCIL,12-Feb-25,NEIGHBOURHOODS AND ENVIRONMENT,THE FOUNTAIN COMPANY LTD,12-Feb-25,"11,662.00",MAINTENANCE,V002321604
ROCHDALE BOROUGH COUNCIL,12-Feb-25,NEIGHBOURHOODS AND ENVIRONMENT,THE FOUNTAIN COMPANY LTD,12-Feb-25,30.50,MAINTENANCE,V002321604
ROCHDALE BOROUGH COUNCIL,12-Feb-25,NEIGHBOURHOODS AND ENVIRONMENT,THE FOUNTAIN COMPANY LTD,12-Feb-25,30.50,MAINTENANCE,V002321604
