ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,15-Jan-25,ECONOMY DIRECTORATE,DWF COMPANY SECRETARIAL SERVICES LTD,15-Jan-25,"1,326.00 ",LEGAL SERVICES EXTERNAL,V002212205
ROCHDALE BOROUGH COUNCIL,15-Jan-25,ADULT CARE LCO FUNCTIONS,SPRINGHILL HOSPICE ROCHDALE,15-Jan-25,350.00 ,ROOM HIRE,V002214243
ROCHDALE BOROUGH COUNCIL,17-Jan-25,NEIGHBOURHOODS AND ENVIRONMENT,CONNECT CARS UK LTD,17-Jan-25,4.00 ,TAXI HIRE,V002217785
ROCHDALE BOROUGH COUNCIL,17-Jan-25,NEIGHBOURHOODS AND ENVIRONMENT,CONNECT CARS UK LTD,17-Jan-25,289.00 ,TAXI HIRE,V002217785
ROCHDALE BOROUGH COUNCIL,31-Jan-25,ECONOMY DIRECTORATE,BANGLADESH ASSOCIATION AND COMMUNITY PROJECT,31-Jan-25,500.00 ,ROOM HIRE,V002222143
ROCHDALE BOROUGH COUNCIL,31-Jan-25,ADULT CARE LCO FUNCTIONS,ALTERNATIVE FUTURES GROUP LTD,31-Jan-25,"4,819.26 ",SOCIAL SERVICES OTHER,V002225562
ROCHDALE BOROUGH COUNCIL,31-Jan-25,ADULT CARE LCO FUNCTIONS,ALTERNATIVE FUTURES GROUP LTD,31-Jan-25,"4,300.98 ",SOCIAL SERVICES OTHER,V002225563
ROCHDALE BOROUGH COUNCIL,31-Jan-25,ADULT CARE LCO FUNCTIONS,ALTERNATIVE FUTURES GROUP LTD,31-Jan-25,"4,508.19 ",SOCIAL SERVICES OTHER,V002225564
ROCHDALE BOROUGH COUNCIL,31-Jan-25,EARLY HELP AND SCHOOLS,ROCHDALE TOWN TAXIS LTD,31-Jan-25,36.00 ,TAXI HIRE,V002229570
ROCHDALE BOROUGH COUNCIL,31-Jan-25,EARLY HELP AND SCHOOLS,ROCHDALE TOWN TAXIS LTD,31-Jan-25,36.00 ,TAXI HIRE,V002229570
ROCHDALE BOROUGH COUNCIL,31-Jan-25,EARLY HELP AND SCHOOLS,ROCHDALE TOWN TAXIS LTD,31-Jan-25,36.00 ,TAXI HIRE,V002229570
ROCHDALE BOROUGH COUNCIL,31-Jan-25,PUBLIC HEALTH,STAFFORDSHIRE COUNTY COUNCIL,31-Jan-25,156.10 ,ENV HEALTH-SAMPLES,V002229571
