ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,05-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE HOUSING INITIATIVE,05-Jun-25,251.00 ,ACCOMMODATION,V002220180
ROCHDALE BOROUGH COUNCIL,05-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE HOUSING INITIATIVE,05-Jun-25,251.00 ,ACCOMMODATION,V002220180
ROCHDALE BOROUGH COUNCIL,23-Jun-25,EARLY HELP AND SCHOOLS,BANNER GROUP LIMITED,23-Jun-25,39.44 ,PRINTING & STATIONERY,V002225554
ROCHDALE BOROUGH COUNCIL,06-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,FRANK KEY TOOL HIRE LTD,06-Jun-25,17.50 ,REPAIRS & ALTS OF BUILDINGS,V002233753
ROCHDALE BOROUGH COUNCIL,23-Jun-25,CHILDREN’S SOCIAL CARE,CHEERY BLOSSOM SUPPORTED LIVING LTD,23-Jun-25,34.00 ,YOUNGE PERSONS ALLOWANCE,V002316628
ROCHDALE BOROUGH COUNCIL,09-Jun-25,EARLY HELP AND SCHOOLS,AXIOM EDUCATION ROCHDALE LIMITED,09-Jun-25,"17,848.55 ",PFI SCHEMES RPIX,V002320253
ROCHDALE BOROUGH COUNCIL,09-Jun-25,EARLY HELP AND SCHOOLS,AXIOM EDUCATION ROCHDALE LIMITED,09-Jun-25,"63,075.00 ",PFI SCHEMES RPIX,V002326167
ROCHDALE BOROUGH COUNCIL,27-Jun-25,NEIGHBOURHOODS AND ENVIRONMENT,MANCHESTER CITY COUNCIL,27-Jun-25,"2,400.00 ",EQUIPMENT - GENERAL,V002327648
ROCHDALE BOROUGH COUNCIL,27-Jun-25,CHILDREN’S SOCIAL CARE,MANCHESTER CITY COUNCIL,27-Jun-25,94.93 ,FURNITURE - GENERAL,V002328661
ROCHDALE BOROUGH COUNCIL,27-Jun-25,RESOURCES,MANCHESTER CITY COUNCIL,27-Jun-25,"75,738.61 ",CONTRACTS,V002332243
