ORGANISATION NAME,EFEFCTIVE DATE,DIRECTORATE,SUPPLIER NAME,DATE PAID,AMOUNT (£),PURPOSE,TRANSACTION No.
ROCHDALE BOROUGH COUNCIL,21-May-25,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,21-May-25,25.26 ,PRINTING & STATIONERY,V002173848
ROCHDALE BOROUGH COUNCIL,21-May-25,NEIGHBOURHOODS AND ENVIRONMENT,BANNER GROUP LIMITED,21-May-25,7.29 ,PRINTING & STATIONERY,V002178996
ROCHDALE BOROUGH COUNCIL,09-May-25,PROPERTY AND HIGHWAYS,MORE THAN SAFETY TRAINING LTD,09-May-25,280.00 ,TRAINING,V002179008
ROCHDALE BOROUGH COUNCIL,27-May-25,EARLY HELP AND SCHOOLS,RESCOM LTD,27-May-25,"8,945.00 ",MINOR BUILDING WORKS,V002212292
ROCHDALE BOROUGH COUNCIL,23-May-25,EARLY HELP AND SCHOOLS,SPIN PRINT SOLUTIONS,23-May-25,173.00 ,ACTIVITIES,V002222342
ROCHDALE BOROUGH COUNCIL,27-May-25,CHILDREN’S SOCIAL CARE,AFRUCA SAFEGUARDING CHILDREN,27-May-25,"2,795.00 ",MEDICAL FEES,V002236567
ROCHDALE BOROUGH COUNCIL,19-May-25,ADULT CARE LCO FUNCTIONS,POLLOCK LIFTS,19-May-25,"20,981.33 ",MINOR BUILDING WORKS,V002241730
ROCHDALE BOROUGH COUNCIL,19-May-25,ADULT CARE LCO FUNCTIONS,POLLOCK LIFTS,19-May-25,214.00 ,MINOR BUILDING WORKS,V002241730
ROCHDALE BOROUGH COUNCIL,13-May-25,PUBLIC HEALTH,ROADVERT LTD,13-May-25,"1,000.00 ",ADVERTISING/PUBLICITY,V002244418
ROCHDALE BOROUGH COUNCIL,02-May-25,NEIGHBOURHOODS AND ENVIRONMENT,TTC COMMERCIAL SERVICES LTD,02-May-25,4.20 ,DRIVER LICENCE CHECKS,V002249150
ROCHDALE BOROUGH COUNCIL,02-May-25,NEIGHBOURHOODS AND ENVIRONMENT,TTC COMMERCIAL SERVICES LTD,02-May-25,4.80 ,DRIVER LICENCE CHECKS,V002275126
ROCHDALE BOROUGH COUNCIL,20-May-25,PROPERTY AND HIGHWAYS,DAWSONGROUP SWEEPERS LTD,20-May-25,878.73 ,CONTRACT HIRE,V002301380
ROCHDALE BOROUGH COUNCIL,28-May-25,EARLY HELP AND SCHOOLS,NHS SUPPLY CHAIN,28-May-25,86.00 ,HEALTH AND SAFETY,V002306573
ROCHDALE BOROUGH COUNCIL,27-May-25,RESOURCES,THE FLYING HORSE ROCHDALE LTD,27-May-25,125.00 ,OFFICE EXPENSES,V002306661
ROCHDALE BOROUGH COUNCIL,02-May-25,NEIGHBOURHOODS AND ENVIRONMENT,TTC COMMERCIAL SERVICES LTD,02-May-25,3.60 ,DRIVER LICENCE CHECKS,V002306946
ROCHDALE BOROUGH COUNCIL,16-May-25,RESOURCES,CDER GROUP LTD,16-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002315105
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,CDER GROUP LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002315106
ROCHDALE BOROUGH COUNCIL,28-May-25,EARLY HELP AND SCHOOLS,NHS SUPPLY CHAIN,28-May-25,-100.00 ,HEALTH AND SAFETY,V002322622
ROCHDALE BOROUGH COUNCIL,28-May-25,EARLY HELP AND SCHOOLS,NHS SUPPLY CHAIN,28-May-25,-80.00 ,HEALTH AND SAFETY,V002322623
ROCHDALE BOROUGH COUNCIL,28-May-25,EARLY HELP AND SCHOOLS,NHS SUPPLY CHAIN,28-May-25,68.80 ,HEALTH AND SAFETY,V002325942
ROCHDALE BOROUGH COUNCIL,21-May-25,PUBLIC HEALTH,REED WELLBEING LTD,21-May-25,"6,345.00 ",ACTIVITIES,V002328040
ROCHDALE BOROUGH COUNCIL,21-May-25,PUBLIC HEALTH,REED WELLBEING LTD,21-May-25,"2,697.00 ",ACTIVITIES,V002328041
ROCHDALE BOROUGH COUNCIL,28-May-25,RESOURCES,EQUITA LIMITED,28-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002332264
ROCHDALE BOROUGH COUNCIL,28-May-25,RESOURCES,EQUITA LIMITED,28-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002332264
ROCHDALE BOROUGH COUNCIL,28-May-25,PROPERTY AND HIGHWAYS,EQUITA LIMITED,28-May-25,101.26 ,CONTRACTED SERVICES,V002332264
ROCHDALE BOROUGH COUNCIL,28-May-25,PROPERTY AND HIGHWAYS,EQUITA LIMITED,28-May-25,101.26 ,CONTRACTED SERVICES,V002332264
ROCHDALE BOROUGH COUNCIL,28-May-25,RESOURCES,EQUITA LIMITED,28-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002332265
ROCHDALE BOROUGH COUNCIL,28-May-25,RESOURCES,EQUITA LIMITED,28-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002332265
ROCHDALE BOROUGH COUNCIL,28-May-25,PROPERTY AND HIGHWAYS,EQUITA LIMITED,28-May-25,95.20 ,CONTRACTED SERVICES,V002332265
ROCHDALE BOROUGH COUNCIL,28-May-25,PROPERTY AND HIGHWAYS,EQUITA LIMITED,28-May-25,95.20 ,CONTRACTED SERVICES,V002332265
ROCHDALE BOROUGH COUNCIL,28-May-25,EARLY HELP AND SCHOOLS,NHS SUPPLY CHAIN,28-May-25,-100.00 ,EQUIPMENT - GENERAL,V002334008
ROCHDALE BOROUGH COUNCIL,13-May-25,PROPERTY AND HIGHWAYS,FS MOULT AND SON LTD,13-May-25,"1,520.00 ",REPAIRS & ALTS OF BUILDINGS,V002348830
ROCHDALE BOROUGH COUNCIL,19-May-25,CHILDREN’S SOCIAL CARE,SAFEHOUSES NORTH LTD,19-May-25,"3,674.52 ",FOSTER PARENTS BASIC ALLOWANCE,V002353955
ROCHDALE BOROUGH COUNCIL,15-May-25,PROPERTY AND HIGHWAYS,ARCO GROUP LIMITED,15-May-25,44.17 ,"CLOTHES, UNIFORM AND LAUNDRY",V002361877
ROCHDALE BOROUGH COUNCIL,07-May-25,EARLY HELP AND SCHOOLS,AXIOM EDUCATION ROCHDALE LIMITED,07-May-25,946.00 ,"DEV CAP - NEW CONSTRUCTION,CONVERSION",V002367741
ROCHDALE BOROUGH COUNCIL,28-May-25,PROPERTY AND HIGHWAYS,BANNER GROUP LIMITED,28-May-25,19.44 ,PRINTING & STATIONERY,V002369393
ROCHDALE BOROUGH COUNCIL,06-May-25,NEIGHBOURHOODS AND ENVIRONMENT,H2O FLOWTECH LTD,06-May-25,123.01 ,EQUIPMENT - GENERAL,V002373631
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002373824
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374024
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374025
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374026
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374027
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374028
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374038
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374053
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374054
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374055
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374056
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374059
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374060
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374061
ROCHDALE BOROUGH COUNCIL,14-May-25,RESOURCES,TIMEOUT CHILDRENS HOMES LTD,14-May-25,0.00 ,INPUT VAT -  ADJUSTMENTS,V002374062
ROCHDALE BOROUGH COUNCIL,07-May-25,PROPERTY AND HIGHWAYS,TARGET FIRE PROTECTION LTD,07-May-25,70.18 ,PROPERTY - WORKS ELEMENT,V002375209
ROCHDALE BOROUGH COUNCIL,07-May-25,PROPERTY AND HIGHWAYS,TARGET FIRE PROTECTION LTD,07-May-25,20.62 ,PROPERTY - WORKS ELEMENT,V002375209
ROCHDALE BOROUGH COUNCIL,09-May-25,NEIGHBOURHOODS AND ENVIRONMENT,HOWARTH TIMBER AND BUILDING SUPPLIES LTD,09-May-25,14.69 ,BUILDING MATERIALS,V002375251
ROCHDALE BOROUGH COUNCIL,06-May-25,EARLY HELP AND SCHOOLS,BEECH HOUSE SCHOOL LTD,06-May-25,"4,481.37 ",OTHER LA`S - SEN PROVISION,V002375283
ROCHDALE BOROUGH COUNCIL,23-May-25,ECONOMY DIRECTORATE,IRWELL STREET METALS,23-May-25,152.42 ,REFUSE DISPOSAL,V002378100
ROCHDALE BOROUGH COUNCIL,14-May-25,EARLY HELP AND SCHOOLS,YORKSHIRE PURCHASING ORGANISATION,14-May-25,124.09 ,PRINTING & STATIONERY,V002378373
ROCHDALE BOROUGH COUNCIL,01-May-25,PROPERTY AND HIGHWAYS,PEOPLESCOUT LTD,01-May-25,595.46 ,ADVERTISING,V002380253
ROCHDALE BOROUGH COUNCIL,09-May-25,COMMISSIONING AND STATUTORY,PANORAMIC ASSOCIATES LTD,09-May-25,"3,375.00 ",CONSULTANT FEES,V002385638
ROCHDALE BOROUGH COUNCIL,14-May-25,EARLY HELP AND SCHOOLS,PROJECT INC,14-May-25,"10,524.96 ",OTHER LA`S - SEN PROVISION,V002385811
ROCHDALE BOROUGH COUNCIL,08-May-25,ECONOMY DIRECTORATE,FS MOULT AND SON LTD,08-May-25,140.00 ,REPAIRS & ALTS OF BUILDINGS,V002386744
ROCHDALE BOROUGH COUNCIL,09-May-25,NEIGHBOURHOODS AND ENVIRONMENT,LANCASHIRE LOCK AND SAFE COMPANY LIMITED,09-May-25,35.00 ,BUILDING MATERIALS,V002386762
ROCHDALE BOROUGH COUNCIL,22-May-25,NEIGHBOURHOODS AND ENVIRONMENT,ELECTRIC CENTER,22-May-25,10.64 ,BUILDING MATERIALS,V002386855
ROCHDALE BOROUGH COUNCIL,09-May-25,CHILDREN’S SOCIAL CARE,KEYS PCE LTD,09-May-25,"17,554.28 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002387002
ROCHDALE BOROUGH COUNCIL,02-May-25,NEIGHBOURHOODS AND ENVIRONMENT,TLC GARDEN SERVICES,02-May-25,250.00 ,MINOR BUILDING WORKS,V002387280
ROCHDALE BOROUGH COUNCIL,20-May-25,PROPERTY AND HIGHWAYS,KEN TAYLOR SUPPLIES LTD,20-May-25,149.75 ,MATERIAL - GENERAL,V002387294
ROCHDALE BOROUGH COUNCIL,16-May-25,ADULT CARE LCO FUNCTIONS,SPOT ADVOCACY,16-May-25,173.50 ,FEES / COMMISSION,V002387541
ROCHDALE BOROUGH COUNCIL,16-May-25,ADULT CARE LCO FUNCTIONS,SPOT ADVOCACY,16-May-25,187.20 ,FEES / COMMISSION,V002387541
ROCHDALE BOROUGH COUNCIL,15-May-25,EARLY HELP AND SCHOOLS,ASPRIS CHILDRENS SERVICES,15-May-25,"26,374.42 ",OTHER EST - SEN PROVISION,V002387551
ROCHDALE BOROUGH COUNCIL,06-May-25,ECONOMY DIRECTORATE,HARROPS HELPING HANDS LIMITED,06-May-25,204.00 ,CLEANING AND DOMESTIC SUPPLIES,V002387581
ROCHDALE BOROUGH COUNCIL,16-May-25,NEIGHBOURHOODS AND ENVIRONMENT,GO2TELECOM LTD,16-May-25,27.44 ,IT EQUIPMENT,V002387597
ROCHDALE BOROUGH COUNCIL,19-May-25,PUBLIC HEALTH,THE UNIVERSITY OF MANCHESTER,19-May-25,"2,199.90 ",EDUCATION OFF SITE,V002388303
ROCHDALE BOROUGH COUNCIL,16-May-25,ECONOMY DIRECTORATE,IP EXCHANGE LTD,16-May-25,18.29 ,TELEPHONE EXPENDITURE,V002388323
ROCHDALE BOROUGH COUNCIL,12-May-25,NEIGHBOURHOODS AND ENVIRONMENT,MAS SEEDS LTD,12-May-25,138.31 ,"TREES, SHRUBS, PLANTS",V002388706
ROCHDALE BOROUGH COUNCIL,02-May-25,ECONOMY DIRECTORATE,VPS UK LTD,02-May-25,19.84 ,REPAIRS & ALTS OF BUILDINGS,V002388744
ROCHDALE BOROUGH COUNCIL,06-May-25,PUBLIC HEALTH,KILLGERM CHEMICALS LIMITED,06-May-25,-180.00 ,EQUIPMENT - GENERAL,V002388858
ROCHDALE BOROUGH COUNCIL,09-May-25,PROPERTY AND HIGHWAYS,MOTT MACDONALD LIMITED,09-May-25,"4,450.00 ",PROFESSIONAL FEES,V002392983
ROCHDALE BOROUGH COUNCIL,28-May-25,PROPERTY AND HIGHWAYS,BANNER GROUP LIMITED,28-May-25,22.50 ,PRINTING & STATIONERY,V002393018
ROCHDALE BOROUGH COUNCIL,19-May-25,EARLY HELP AND SCHOOLS,CAMBIAN CHILDCARE LIMITED,19-May-25,"19,045.33 ",OTHER EST - SEN PROVISION,V002393048
ROCHDALE BOROUGH COUNCIL,13-May-25,EARLY HELP AND SCHOOLS,R S LANDSCAPES LTD,13-May-25,115.50 ,GROUNDS MAINTENANCE GENERAL,V002393081
ROCHDALE BOROUGH COUNCIL,21-May-25,NEIGHBOURHOODS AND ENVIRONMENT,SWIFT SECURITY PRODUCTS LTD,21-May-25,75.00 ,BUILDING MATERIALS,V002393178
ROCHDALE BOROUGH COUNCIL,21-May-25,NEIGHBOURHOODS AND ENVIRONMENT,SWIFT SECURITY PRODUCTS LTD,21-May-25,405.00 ,BUILDING MATERIALS,V002393178
ROCHDALE BOROUGH COUNCIL,29-May-25,NEIGHBOURHOODS AND ENVIRONMENT,G A ELECTRICAL DISTRIBUTORS LIMITED,29-May-25,7.06 ,BUILDING MATERIALS,V002393313
ROCHDALE BOROUGH COUNCIL,14-May-25,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,14-May-25,"3,605.92 ",FOSTER PARENTS BASIC ALLOWANCE,V002393542
ROCHDALE BOROUGH COUNCIL,14-May-25,CHILDREN’S SOCIAL CARE,BY THE BRIDGE THERAPUTIC FOSTERING SERVICE,14-May-25,"1,288.30 ",FOSTER PARENTS BASIC ALLOWANCE,V002393542
ROCHDALE BOROUGH COUNCIL,16-May-25,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,16-May-25,"-3,397.41 ",FOSTER PARENTS BASIC ALLOWANCE,V002393563
ROCHDALE BOROUGH COUNCIL,16-May-25,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,16-May-25,"-3,466.75 ",FOSTER PARENTS BASIC ALLOWANCE,V002393564
ROCHDALE BOROUGH COUNCIL,06-May-25,EARLY HELP AND SCHOOLS,BEECH HOUSE SCHOOL LTD,06-May-25,"-4,481.37 ",OTHER LA`S - SEN PROVISION,V002393565
ROCHDALE BOROUGH COUNCIL,27-May-25,NEIGHBOURHOODS AND ENVIRONMENT,EARLEY ORNAMENTALS LTD,27-May-25,-15.50 ,"TREES, SHRUBS, PLANTS",V002393579
ROCHDALE BOROUGH COUNCIL,19-May-25,ECONOMY DIRECTORATE,ALLIANCE DISPOSABLES LIMITED,19-May-25,-17.25 ,CLEANING AND DOMESTIC SUPPLIES,V002393580
ROCHDALE BOROUGH COUNCIL,16-May-25,RESOURCES,EQUITA LIMITED,16-May-25,0.00 ,INPUT VAT - FEEDERS,V002393601
ROCHDALE BOROUGH COUNCIL,16-May-25,RESOURCES,EQUITA LIMITED,16-May-25,0.00 ,INPUT VAT - FEEDERS,V002393601
ROCHDALE BOROUGH COUNCIL,22-May-25,NEIGHBOURHOODS AND ENVIRONMENT,ELECTRIC CENTER,22-May-25,337.87 ,BUILDING MATERIALS,V002393625
ROCHDALE BOROUGH COUNCIL,01-May-25,ECONOMY DIRECTORATE,CHUBB FIRE AND SECURITY LIMITED,01-May-25,95.53 ,REPAIRS & ALTS OF BUILDINGS,V002393749
ROCHDALE BOROUGH COUNCIL,22-May-25,NEIGHBOURHOODS AND ENVIRONMENT,PARR ROCHDALE LIMITED,22-May-25,12.31 ,BUILDING MATERIALS,V002395531
ROCHDALE BOROUGH COUNCIL,23-May-25,ECONOMY DIRECTORATE,IRWELL STREET METALS,23-May-25,236.42 ,REFUSE DISPOSAL,V002395543
ROCHDALE BOROUGH COUNCIL,22-May-25,ECONOMY DIRECTORATE,IRWELL STREET METALS,22-May-25,253.42 ,REFUSE DISPOSAL,V002395544
ROCHDALE BOROUGH COUNCIL,19-May-25,EARLY HELP AND SCHOOLS,RHINO SENSORY UK LTD,19-May-25,"1,066.41 ",PURCHASE OF FURNITURE AND EQUIPMENT,V002395577
ROCHDALE BOROUGH COUNCIL,13-May-25,PROPERTY AND HIGHWAYS,VIRGIN MEDIA BUSINESS,13-May-25,"35,168.27 ",STATUTORY UNDERTAKING-UTILITY COMPANIES,V002395603
ROCHDALE BOROUGH COUNCIL,08-May-25,ADULT CARE LCO FUNCTIONS,FS MOULT AND SON LTD,08-May-25,"1,000.00 ",MINOR BUILDING WORKS,V002395615
ROCHDALE BOROUGH COUNCIL,08-May-25,ADULT CARE LCO FUNCTIONS,FS MOULT AND SON LTD,08-May-25,"4,630.00 ",MINOR BUILDING WORKS,V002395615
ROCHDALE BOROUGH COUNCIL,21-May-25,NEIGHBOURHOODS AND ENVIRONMENT,HOWARTH TIMBER AND BUILDING SUPPLIES LTD,21-May-25,-14.69 ,BUILDING MATERIALS,V002395816
ROCHDALE BOROUGH COUNCIL,23-May-25,PROPERTY AND HIGHWAYS,VIVID RESOURCING LTD,23-May-25,"1,122.33 ",AGENCY STAFF,V002396555
ROCHDALE BOROUGH COUNCIL,16-May-25,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,16-May-25,"4,298.77 ",FOSTER PARENTS BASIC ALLOWANCE,V002396570
ROCHDALE BOROUGH COUNCIL,16-May-25,CHILDREN’S SOCIAL CARE,ALPHA PLUS FOSTERING,16-May-25,"4,212.79 ",FOSTER PARENTS BASIC ALLOWANCE,V002396629
ROCHDALE BOROUGH COUNCIL,30-May-25,NEIGHBOURHOODS AND ENVIRONMENT,HOWDENS JOINERY LIMITED,30-May-25,117.62 ,BUILDING MATERIALS,V002396706
ROCHDALE BOROUGH COUNCIL,16-May-25,NEIGHBOURHOODS AND ENVIRONMENT,ELECTRIC CENTER,16-May-25,49.59 ,BUILDING MATERIALS,V002396707
ROCHDALE BOROUGH COUNCIL,01-May-25,EARLY HELP AND SCHOOLS,ELKLAN TRAINING LTD,01-May-25,82.50 ,TRAINING-QUALIFICATION,V002396732
ROCHDALE BOROUGH COUNCIL,20-May-25,PROPERTY AND HIGHWAYS,ROYAL MAIL GROUP LTD,20-May-25,413.46 ,POSTAGE,V002396754
ROCHDALE BOROUGH COUNCIL,22-May-25,RESOURCES,GAMMA BUSINESS COMMUNICATIONS,22-May-25,"3,401.99 ",TELEPHONE EXPENDITURE,V002396892
ROCHDALE BOROUGH COUNCIL,22-May-25,RESOURCES,GAMMA BUSINESS COMMUNICATIONS,22-May-25,"1,012.38 ",TELEPHONE EXPENDITURE,V002396892
ROCHDALE BOROUGH COUNCIL,23-May-25,EARLY HELP AND SCHOOLS,ROCHDALE MASONIC BUILDINGS LTD,23-May-25,122.50 ,ACTIVITIES,V002396906
ROCHDALE BOROUGH COUNCIL,23-May-25,EARLY HELP AND SCHOOLS,ROCHDALE MASONIC BUILDINGS LTD,23-May-25,125.00 ,ACTIVITIES,V002396906
ROCHDALE BOROUGH COUNCIL,23-May-25,EARLY HELP AND SCHOOLS,ROCHDALE MASONIC BUILDINGS LTD,23-May-25,26.25 ,ACTIVITIES,V002396907
ROCHDALE BOROUGH COUNCIL,23-May-25,EARLY HELP AND SCHOOLS,ROCHDALE MASONIC BUILDINGS LTD,23-May-25,125.00 ,ACTIVITIES,V002396907
ROCHDALE BOROUGH COUNCIL,23-May-25,RESOURCES,CRITIQOM LIMITED,23-May-25,500.00 ,PRINTING & STATIONERY,V002396916
ROCHDALE BOROUGH COUNCIL,08-May-25,CHILDREN’S SOCIAL CARE,ROC NORTHWEST LTD,08-May-25,"23,692.86 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002396938
ROCHDALE BOROUGH COUNCIL,01-May-25,EARLY HELP AND SCHOOLS,HOLLYBANK,01-May-25,"1,460.00 ",HOME CARE - CHILDRENS SERVICES,V002396943
ROCHDALE BOROUGH COUNCIL,14-May-25,EARLY HELP AND SCHOOLS,BELMONT SCHOOL LIMITED,14-May-25,710.22 ,OTHER EST - SEN PROVISION,V002396944
ROCHDALE BOROUGH COUNCIL,02-May-25,ECONOMY DIRECTORATE,FISHERS CLEANING SERVICES LIMITED,02-May-25,803.55 ,CARETAKING ADDITIONAL CHARGE,V002396979
ROCHDALE BOROUGH COUNCIL,01-May-25,NEIGHBOURHOODS AND ENVIRONMENT,SHORROCK TRICHEM LTD,01-May-25,"1,900.00 ",EQUIPMENT - GENERAL,V002397009
ROCHDALE BOROUGH COUNCIL,23-May-25,CHILDREN’S SOCIAL CARE,SOCIAL CARE SERVICES LIMITED,23-May-25,"21,921.34 ",EBD (EMOT & BEHAV DIFF) PLACEMENTS,V002397045
ROCHDALE BOROUGH COUNCIL,13-May-25,ECONOMY DIRECTORATE,A AND D DOOR SYSTEMS LTD,13-May-25,595.00 ,REPAIRS & ALTS OF BUILDINGS,V002397061
ROCHDALE BOROUGH COUNCIL,15-May-25,PROPERTY AND HIGHWAYS,CONTROLLED AIR SOLUTIONS LTD,15-May-25,413.00 ,REPAIRS & ALTS OF BUILDINGS,V002397089
ROCHDALE BOROUGH COUNCIL,15-May-25,PROPERTY AND HIGHWAYS,CONTROLLED AIR SOLUTIONS LTD,15-May-25,"1,044.00 ",SPECIFIED MAINTENANCE,V002397090
ROCHDALE BOROUGH COUNCIL,22-May-25,NEIGHBOURHOODS AND ENVIRONMENT,ELECTRIC CENTER,22-May-25,14.28 ,BUILDING MATERIALS,V002397092
ROCHDALE BOROUGH COUNCIL,07-May-25,NEIGHBOURHOODS AND ENVIRONMENT,ROCHDALE GLASS AND GLAZING CO LTD,07-May-25,48.00 ,BUILDING MATERIALS,V002397119
ROCHDALE BOROUGH COUNCIL,02-May-25,NEIGHBOURHOODS AND ENVIRONMENT,BRITISH GAS TRADING LTD,02-May-25,412.44 ,ELECTRICITY,V002397134
ROCHDALE BOROUGH COUNCIL,02-May-25,NEIGHBOURHOODS AND ENVIRONMENT,BRITISH GAS TRADING LTD,02-May-25,563.37 ,GAS,V002397134
ROCHDALE BOROUGH COUNCIL,28-May-25,PROPERTY AND HIGHWAYS,AGGREGATE INDUSTRIES UK LIMITED,28-May-25,"1,577.72 ",MATERIAL - GENERAL,V002397315
ROCHDALE BOROUGH COUNCIL,22-May-25,NEIGHBOURHOODS AND ENVIRONMENT,H ROTHWELL AND CO LTD,22-May-25,8.96 ,BUILDING MATERIALS,V002398705
ROCHDALE BOROUGH COUNCIL,02-May-25,NEIGHBOURHOODS AND ENVIRONMENT,CICELEY COMMERCIALS LIMITED,02-May-25,390.00 ,PURCHASE OF VEHICLES,V002398722
ROCHDALE BOROUGH COUNCIL,20-May-25,NEIGHBOURHOODS AND ENVIRONMENT,MOFFAT AND RILEY HEATING SERVICES LTD,20-May-25,"4,252.50 ",MINOR BUILDING WORKS,V002398732
